rank,artist,song,year
1,Faith Hill,Breathe,2000
2,Santana feat. Rob Thomas,Smooth,2000
3,Santana feat. The Product GandB,Maria Maria,2000
4,Joe,I Wanna Know,2000
5,Vertical Horizon,Everything You Want,2000
6,Destiny’s Child,Say My Name,2000
7,Savage Garden,I Knew I Loved You,2000
8,Lonestar,Amazed,2000
9,matchbox twenty,Bent,2000
10,Toni Braxton,He Wasn’t Man Enough,2000
11,Creed,Higher,2000
12,Aaliyah,Try Again,2000
13,Destiny’s Child,Jumpin Jumpin’,2000
14,Sisqo,Thong Song,2000
15,3 Doors Down,Kryptonite,2000
16,Pink,There You Go,2000
17,Madonna,Music,2000
18,Janet,Doesn’t Really Matter,2000
19,Christina Aguilera,What A Girl Wants,2000
20,Brian McKnight,Back At One,2000
21,‘N Sync,Bye Bye Bye,2000
22,Marc Anthony,You Sang To Me,2000
23,Marc Anthony,I Need To Know,2000
24,Montell Jordan,Get It On Tonite,2000
25,Sisqo,Incomplete,2000
26,Macy Gray,I Try,2000
27,‘N Sync,It’s Gonna Be Me,2000
28,Celine Dion,That’s The Way It Is,2000
29,Nelly,(Hot S**T) Country Grammar,2000
30,Blaque,Bring It All To Me,2000
31,Backstreet Boys,Show Me The Meaning Of Being Lonely,2000
32,"Missy Elliott feat. Nas, EVE and Q-Tip",Hot Boyz,2000
33,BBMak,Back Here,2000
34,Sonique,It Feels So Good,2000
35,Nine Days,Absolutely (Story Of A Girl),2000
36,Creed,With Arms Wide Open,2000
37,Enrique Iglesias,Be With You,2000
38,Christina Aguilera,Come On Over Baby (All I Want Is You),2000
39,Ruff Endz,No More,2000
40,Blink 182,All The Small Things,2000
41,Faith Hill,The Way You Love Me,2000
42,Christina Aguilera,I Turn To You,2000
43,Third Eye Blind,Never Let You Go,2000
44,LeAnn Rimes,I Need You,2000
45,Mariah Carey feat. Joe and 98 Degrees,Thank God I Found You,2000
46,Jagged Edge,Let’s Get Married,2000
47,Whitney Houston,My Love Is Your Love,2000
48,Smash Mouth,Then The Morning Comes,2000
49,iffel 65,Blue (Da Ba Dee),2000
50,Sting feat. Cheb Mami,Desert Rose,2000
51,Eminem,The Real Slim Shady,2000
52,Pink,Most Girls,2000
53,Next,Wifey,2000
54,Everclear,Wonderful,2000
55,Britney Spears,Oops!… I Did It Again,2000
56,Jessica Simpson,I Wanna Love You Forever,2000
57,98 Degrees,Give Me Just One Night (Una Noche ),2000
58,Filter,Take A Picture,2000
59,Red Hot Chili Peppers,Otherside,2000
60,Jay-Z feat. UGK,Big Pimpin’,2000
61,Son By Four,Purest Of Pain (A Puro Dolor),2000
62,Jagged Edge,He Can’t Love U,2000
63,Avant,Separated,2000
64,Carl Thomas,I Wish,2000
65,Donell Jones,U Know What’s Up,2000
66,SoulDecision feat. Thrust,Faded,2000
67,Kid Rock,Only God Knows Why,2000
68,Mystikal,Shake Ya Ass,2000
69,Erykah Badu,Bag Lady,2000
70,Train,Meet Virginia,2000
71,DMX,Party Up (Up In Here),2000
72,Mya,Case Of The Ex (Whatcha Gonna Do),2000
73,Dr. Dre feat. Eminem,Forget About Dre,2000
74,Jo Dee Messina,That’s The Way,2000
75,Westlife,Swear It Again,2000
76,Dr. Dre feat. Snoop Dogg,The Next Episode,2000
77,Britney Spears,From The Bottom Of My Broken Heart,2000
78,Savage Garden,Crash And Burn,2000
79,Chad Brock,Yes!,2000
80,George Strait,The Best Day,2000
81,Donell Jones,Where I Wanna Be,2000
82,Toby Keith,How Do You Like Me Now?!,2000
83,Tim McGraw,My Best Friend,2000
84,Goo Goo Dolls,Broadway,2000
85,Da Brat feat. Tyrese,What’chu Like,2000
86,Kandi,Don’t Think I’m Not,2000
87,Lee Ann Womack and Sons Of The Desert,I Hope You Dance,2000
88,Alice Deejay,Better Off Alone,2000
89,Debelah Morgan,Dance With Me,2000
90,Lonestar,What About Now,2000
91,Sammie,I Like It,2000
92,Kevon Edmonds,24/7,2000
93,LFO,Girl On TV,2000
94,Lil Bow Wow feat. Xscape,Bounce With Me,2000
95,Dixie Chicks,Cowboy Take Me Away,2000
96,Aaliyah,I Don’t Wanna,2000
97,Destiny’s Child,Independent Women Part I,2000
98,Samantha Mumba,Gotta Tell You,2000
99,Jennifer Lopez,Waiting For Tonight,2000
100,Mary Mary,Shackles (Praise You),2000
1,Lifehouse,Hanging By A Moment,2001
2,Alicia Keys,Fallin’,2001
3,Janet,All For You,2001
4,Train,Drops Of Jupiter (Tell Me),2001
5,Jennifer Lopez feat. Ja Rule,I’m Real,2001
6,matchbox twenty,If You’re Gone,2001
7,Eve feat. Gwen Stefani,Let Me Blow Ya Mind,2001
8,Dido,Thank You,2001
9,Lenny Kravitz,Again,2001
10,Destiny’s Child,Independent Women Part I,2001
11,Blu Cantrell,Hit ‘Em Up Style (Oops!),2001
12,Shaggy feat. Ricardo “RikRok” Ducent,It Wasn’t Me,2001
13,Joe feat. Mystikal,Stutter,2001
14,Staind,It’s Been Awhile,2001
15,Usher,U Remind Me,2001
16,Jagged Edge With Nelly,Where The Party At,2001
17,Shaggy feat. Rayvon,Angel,2001
18,Nelly feat. City Spud,Ride Wit Me,2001
19,Uncle Kracker,Follow Me,2001
20,112,Peaches & Cream,2001
21,Incubus,Drive,2001
22,City High,What Would You Do?,2001
23,Destiny’s Child,Survivor,2001
24,"Christina Aguilera, Lil’ Kim, Mya and Pink",Lady Marmalade,2001
25,Outkast,Ms. Jackson,2001
26,Jennifer Lopez,Love Don’t Cost A Thing,2001
27,Faith Hill,The Way You Love Me,2001
28,Dream,He Loves U Not,2001
29,Crazy Town,Butterfly,2001
30,Ja Rule feat. Lil’ Mo and Vita,Put It On Me,2001
31,Mary J. Blige,Family Affair,2001
32,Lee Ann Womack and Sons Of The Desert,I Hope You Dance,2001
33,Moby feat. Gwen Stefani,South Side,2001
34,Madonna,Don’t Tell Me,2001
35,Missy “Misdemeanor” Elliott,Get Ur Freak On,2001
36,K-Ci and JoJo,Crazy,2001
37,Craig David,Fill Me In,2001
38,Janet,Someone To Call My Lover,2001
39,Creed,With Arms Wide Open,2001
40,Mya,Case Of The Ex (Whatcha Gonna Do),2001
41,O-Town,All Or Nothing,2001
42,Destiny’s Child,Bootylicious,2001
43,Nelly Furtado,I’m Like A Bird,2001
44,3 Doors Down,Kryptonite,2001
45,R. Kelly feat. Jay-Z,Fiesta,2001
46,Sugar Ray,When It’s Over,2001
47,Aerosmith,Jaded,2001
48,Jagged Edge,Promise,2001
49,Case,Missing You,2001
50,Ginuwine,Differences,2001
51,‘N Sync,This I Promise You,2001
52,Jay-Z,Izzo (H.O.V.A.),2001
53,Lil’ Mo feat. Fabolous,Superwoman Pt. II,2001
54,Evan And Jaron,Crazy For This Girl,2001
55,Ricky Martin and Christina Aguilera,Nobody Wants To Be Lonely,2001
56,Jay-Z,I Just Wanna Love U (Give It 2 Me),2001
57,Missy “Misdemeanor” Elliott,One Minute Man,2001
58,Mystikal feat. Nivea,Danger (Been So Long),2001
59,Enya,Only Time,2001
60,Toya,I Do!!,2001
61,S Club 7,Never Had A Dream Come True,2001
62,Tamia,Stranger In My House,2001
63,Jessica Simpson,Irresistible,2001
64,Sunshine Anderson,Heard It All Before,2001
65,Dave Matthews Band,The Space Between,2001
66,Faith Hill,There You’ll Be,2001
67,Musiq Soulchild,Love,2001
68,112,It’s Over Now,2001
69,3LW,No More (Baby I’ma Do Right),2001
70,Nelly Furtado,Turn Off The Light,2001
71,Brooks and Dunn,Ain’t Nothing `Bout You,2001
72,Jennifer Lopez,Play,2001
73,Lonestar,I’m Already There,2001
74,Lil’ Romeo,My Baby,2001
75,U2,Beautiful Day,2001
76,Blake Shelton,Austin,2001
77,Ludacris,Southern Hospitality,2001
78,Tim McGraw,Grown Men Don’t Cry,2001
79,Ja Rule feat. Case,Livin’ It Up,2001
80,Mariah Carey feat. Cameo,Loverboy,2001
81,Isley Brothers feat. Ronald Isley AKA Mr. Biggs,Contagious,2001
82,Jessica Andrews,Who I Am,2001
83,Erick Sermon feat. Marvin Gaye,Music,2001
84,Willa Ford,I Wanna Be Bad,2001
85,Kenny Chesney,Don’t Happen Twice,2001
86,Diamond Rio,One More Day,2001
87,R. Kelly,I Wish,2001
88,Travis Tritt,It’s A Great Day To Be Alive,2001
89,Trick Daddy,I’m A Thug,2001
90,Eve 6,Here’s To The Night,2001
91,Toby Keith,You Shouldn’t Kiss Me Like This,2001
92,Eden’s Crush,Get Over Yourself,2001
93,Debelah Morgan,Dance With Me,2001
94,Outkast,"So Fresh, So Clean",2001
95,Nelly,E.I.,2001
96,3 Doors Down,Be Like That,2001
97,Pink,Most Girls,2001
98,QB’s Finest feat. Nas and Braveheart’s,Oochie Wally,2001
99,Enrique Iglesias,Hero,2001
100,Fuel,Hemorrhage (In My Hands),2001
1,Nickelback,How Your Remind Me,2002
2,Ashanti,Foolish,2002
3,Nelly,Hot in Herre,2002
4,Nelly feat. Kelly Rowland,Dilemma,2002
5,The Calling,Wherever you Will Go,2002
6,Vanessa Carlton,A Thousand Miles,2002
7,Linkin Park,In the End,2002
8,Fat Joe feat. Ashanti,What’s Luv?,2002
9,Usher,U Got it Bad,2002
10,Puddle Of Mudd,Blurry,2002
11,Avril Lavigne,Complicated,2002
12,Ja Rule feat. Ashanti,Always on Time,2002
13,Jennifer Lopez feat. Ja Rule,Ain’t it Funny,2002
14,Jimmy Eat World,The Middle,2002
15,P. Diddy feat. Usher and Loon,I Need a Girl (Part One),2002
16,Usher,U Don’t have to Call,2002
17,Mary J. Blige,Family Affair,2002
18,"P. Diddy and Ginuwine feat. Loon, Mario Winans and Tammy Ruggeri",I Need a Girl (Part Two),2002
19,Eve feat. Alicia Keys,Gangsta Lovin’,2002
20,Creed,My Sacrifice,2002
21,Eminem,Without Me,2002
22,Enrique Iglesias,Hero,2002
23,Michelle Branch,All You Wanted,2002
24,Pink,Get the Party Started,2002
25,Chad Kroeger feat. Josey Scott,Hero,2002
26,Default,Wasting My Time,2002
27,Creed,One Last Breath,2002
28,Shakira,"Whenever, Wherever",2002
29,Jennifer Lopez feat. Nas,I’m Gonna Be Alright,2002
30,Cam’ron feat. Juelz Santana,Oh Boy,2002
31,DJ Sammy and Yanou feat. Do,Heaven,2002
32,No Doubt feat. Bounty Killer,Hey Baby,2002
33,‘N Sync feat. Nelly,Girlfriend,2002
34,Mario,Just a Friend 2002,2002
35,Sheryl Crow,Soak up the Sun,2002
36,Pink,Don’t Let Me Get Me,2002
37,N.O.R.E.,Nothin’,2002
38,Tweet,Oops (Oh My),2002
39,Kelly Clarkson,A Moment Like This,2002
40,Truth Hurts feat. Rakim,Addictive,2002
41,Ashanti,Happy,2002
42,John Mayer,No Such Thing,2002
43,Pink,Just Like a Pill,2002
44,"Irv Gotti Presents The Inc. feat. Ja Rule, Ashanti, Charli Baltimore and Vita",Down 4 U,2002
45,Kylie Minogue,Can’t Get You Out Of My Head,2002
46,Five For Fighting,Superman (It’s not Easy),2002
47,Eminem,Cleanin’ out my Closet,2002
48,Musiq,Halfcrazy,2002
49,Mr. Cheeks,"Lights, Camera, Action!",2002
50,Big Tymers,Still Fly,2002
51,Alicia Keys,A Woman’s Worth,2002
52,Craig David,7 Days,2002
53,"Cam’ron feat. Juelz Santana, Freekey Zekey and Toya",Hey Ma,2002
54,Missy “Misdemeanor” Elliott,Work It,2002
55,Ludacris feat. Mystikal and Infamous 2.0,Move Bitch,2002
56,LeAnn Rimes,Can’t Fight the Moonlight,2002
57,Enrique Iglesias,Escape,2002
58,Aaliyah,More than a Woman,2002
59,No Doubt,Hello Good,2002
60,Faith Evans,I Love You,2002
61,Daniel Bedingfield,Gotta Get Thru This,2002
62,Busta Rhymes feat. P. Diddy and Pharrell,Pass the Courvoisier Part II,2002
63,Eminem,Lose Yourself,2002
64,Michael Jackson,Butterflies,2002
65,Brandy,What About Us?,2002
66,Shakira,Underneath your Clothes,2002
67,Mary J. Blige feat. Ja Rule,Rainy Dayz,2002
68,Ginuwine,Differences,2002
69,Angie Martinez feat. Lil’ Mo and Sacario,If I could Go!,2002
70,OutKast feat. Killer Mike,The Whole World,2002
71,No Doubt feat. Lady Saw,Underneath it All,2002
72,City High feat. Eve,Caramel,2002
73,LL Cool J,Luv U Better,2002
74,Sean Paul,Gimme the Light,2002
75,‘N Sync,Gone,2002
76,Ja Rule feat. Case,Livin’ it Up,2002
77,Ludacris,Roll Out (My Business),2002
78,Goo Goo Dolls,Here is Gone,2002
79,Mary J. Blige,No More Drama,2002
80,Dirty Vegas,Days go By,2002
81,Ashanti,Baby,2002
82,Kenny Chesney,The Good Stuff,2002
83,Fat Joe feat. R. Kelly,We Thuggin’,2002
84,Steve Holy,Good Morning Beautiful,2002
85,Aaliyah,Rock the Boat,2002
86,Alan Jackson,Drive (For Daddy Gene),2002
87,Jewel,Standing Still,2002
88,Jaheim feat. Next,Anything,2002
89,Brandy,Full Moon,2002
90,B2K,Uh Huh,2002
91,Celine Dion,A New Day has Come,2002
92,Nelly Furtado,Turn Off the Light,2002
93,George Strait,Living and Living Well,2002
94,Toby Keith,My List,2002
95,Alanis Morissette,Hands Clean,2002
96,Avril Lavigne,Sk8er Boi,2002
97,Dixie Chicks,Long Time Gone,2002
98,Alan Jackson,Where Were You (When the World Stopped Turning),2002
99,Justin Timberlake,Like I Love You,2002
100,Toya,I Do!!,2002
1,50 Cent,In Da Club,2003
2,R. Kelly,Ignition,2003
3,Sean Paul,Get Busy,2003
4,Beyonce feat. Jay-Z,Crazy in Love,2003
5,3 Doors Down,When I’m Gone,2003
6,matchbox twenty,Unwell,2003
7,Chingy,Right Thurr,2003
8,Aaliyah,Miss You,2003
9,Kid Rock feat. Sheryl Crow,Picture,2003
10,Evanescence feat. Paul McCoy,Bring me to Life,2003
11,Lil Jon and The East Side Boyz feat. Ying Yang Twins,Get Low,2003
12,Beyonce feat. Sean Paul,Baby Boy,2003
13,"Nelly, P. Diddy and Murphy Lee",Shake ya Tailfeather,2003
14,50 Cent feat. Nate Dogg,21 Questions,2003
15,Jennifer Lopez feat. LL Cool J,All I Have,2003
16,Christina Aguilera,Beautiful,2003
17,Busta Rhymes and Mariah Carey feat. The Flipmode Squad,I Know what you Want,2003
18,Avril Lavigne,I’m with You,2003
19,Uncle Kracker feat. Dobie Gray,Drift Away,2003
20,Lil’ Kim feat. 50 Cent,Magic Stick,2003
21,50 Cent,P.I.M.P.,2003
22,B2K and P. Diddy,"Bump, Bump, Bump",2003
23,Fabolous feat. Tamia Or Ashanti,Into You,2003
24,Fabolous feat. Mike Shorey and Lil’ Mo,Can’t let you Go,2003
25,Ja Rule feat. Ashanti,Mesmerize,2003
26,Black Eyed Peas,Where is the Love?,2003
27,Santana feat. Michelle Branch,The Game of Love,2003
28,Eminem,Lose Yourself,2003
29,Ashanti,Rock wit U (Awww Baby),2003
30,Justin Timberlake,Cry me a River,2003
31,Tyrese,How you Gonna Act Like That,2003
32,Justin Timberlake,Rock your Body,2003
33,Wayne Wonder,No Letting Go,2003
34,Pharrell feat. Jay-Z,Frontin’,2003
35,Dixie Chicks,Landslide,2003
36,Missy “Misdemeanor” Elliott,Work It,2003
37,Jay-Z feat. Beyonce Knowles,’03 Bonnie & Clyde,2003
38,Nivea feat. Brian and Brandon Casey,Don’t Mess with my Man,2003
39,Monica,So Gone,2003
40,"Nelly feat. Kyjuan, Ali and Murphy Lee",Air Force Ones,2003
41,Lumidee,"Never Leave You – Uh Ooh, Uh Oooh!",2003
42,Snoop Dogg feat. Pharrell and Uncle Charlie Wilson,Beautiful,2003
43,Missy “Misdemeanor” Elliott feat. Ludacris,Gossip Folks,2003
44,Kelly Clarkson,Miss Independent,2003
45,Train,Calling All Angels,2003
46,YoungBloodZ feat. Lil Jon,Damn!,2003
47,Clay Aiken,This is the Night,2003
48,John Mayer,Your Body is a Wonderland,2003
49,Trapt,Headstrong,2003
50,Ginuwine,In those Jeans,2003
51,Ludacris feat. Shawnna,Stand Up,2003
52,Jason Mraz,The Remedy (I won’t Worry),2003
53,Santana feat. Alex Band Or Chad Kroeger,Why Don’t You & I,2003
54,Jay-Z,Excuse Me Miss,2003
55,Jennifer Lopez feat. Styles and Jadakiss,Jenny from the Block,2003
56,Michelle Branch,Are you Happy Now?,2003
57,Shania Twain,Forever and for Always,2003
58,Nas,I Can,2003
59,No Doubt feat. Lady Saw,Underneath it All,2003
60,Daniel Bedingfield,If you’re not the One,2003
61,R. Kelly,Thoia Thoing,2003
62,3 Doors Down,Here without You,2003
63,50 Cent,Wanksta,2003
64,Mya,My Love is Like… Wo,2003
65,Alan Jackson and Jimmy Buffett,It’s Five O’Clock Somewhere,2003
66,Sean Paul,Like Glue,2003
67,Christina Aguilera feat. Lil’ Kim,Can’t Hold us Down,2003
68,Lonestar,My Front Porch Looking In,2003
69,Amanda Perez,Angel,2003
70,Puddle Of Mudd,She Hates Me,2003
71,Frankie J,Don’t Wanna Try,2003
72,Lil’ Kim feat. Mr. Cheeks,The Jump Off,2003
73,Jewel,Intuition,2003
74,Ginuwine feat. Baby,Hell Yeah,2003
75,Toby Keith Duet With Willie Nelson,Beer for my Horses,2003
76,Chingy feat. Ludacris and Snoop Dogg,Holidae In,2003
77,Baby Bash feat. Frankie J,Suga Suga,2003
78,Erykah Badu feat. Common,Love of my Life (An Ode to Hip Hop),2003
79,Christina Aguilera,Fighter,2003
80,2Pac,Thugz Mansion,2003
81,Coldplay,Clocks,2003
82,Jaheim,Put that Woman First,2003
83,Ashanti,Rain on Me,2003
84,Mark Wills,19 Somethin’,2003
85,Young Gunz,"Can’t Stop, Won’t Stop",2003
86,Brooks and Dunn,Red Dirt Road,2003
87,Dierks Bentley,What was I Thinkin’,2003
88,Ruben Studdard,Flying without Wings,2003
89,Eminem,Sing for the Moment,2003
90,Darryl Worley,Have you Forgotten?,2003
91,Kenny Chesney,"No Shoes, No Shirt, No Problems",2003
92,Aaliyah,Come Over,2003
93,Field Mob,Sick of Being Lonely,2003
94,R. Kelly,Step in the Name of Love,2003
95,Thalia feat. Fat Joe,I Want You,2003
96,Audioslave,Like a Stone,2003
97,Norah Jones,Don’t know Why,2003
98,Eminem,Superman,2003
99,Tim McGraw,Real Good Man,2003
100,Floetry,Say Yes,2003
1,Usher feat. Lil Jon and Ludacris,Yeah!,2004
2,Usher,Burn,2004
3,Alicia Keys,If I Ain’t Got You,2004
4,Maroon5,This Love,2004
5,OutKast feat. Sleepy Brown,The Way You Move,2004
6,Hoobastank,The Reason,2004
7,Mario Winans feat. Enya and P. Diddy,I Don’t Wanna Know,2004
8,OutKast,Hey Ya!,2004
9,Ciara feat. Petey Pablo,Goodies,2004
10,Terror Squad,Lean Back,2004
11,J-Kwon,Tipsy,2004
12,Usher,Confessions Part II,2004
13,Juvenile feat. Soulja Slim,Slow Motion,2004
14,Petey Pablo,Freek-a-Leek,2004
15,3 Doors Down,Here Without You,2004
16,Twista feat. Kanye West and Jamie Foxx,Slow Jamz,2004
17,Nickelback,Someday,2004
18,Beyonce,Naughty Girl,2004
19,Evanescence,My Immortal,2004
20,Lil’ Flip feat. Lea,Sunshine,2004
21,Jay-Z,Dirt Off Your Shoulder,2004
22,Nina Sky feat. Jabba,Move Ya Body,2004
23,Christina Milian,Dip It Low,2004
24,Usher And Alicia Keys,My Boo,2004
25,Chingy feat. J. Weav,One Call Away,2004
26,Beyonce,"Me, Myself, and I",2004
27,Kevin Lyttle feat. Spragga Benz,Turn Me On,2004
28,Sheryl Crow,The First Cut Is The Deepest,2004
29,Alicia Keys,You Don’t Know My Name,2004
30,Nelly feat. Jaheim,My Place,2004
31,Twista,Overnight Celebrity,2004
32,Cassidy feat. R. Kelly,Hotel,2004
33,Linkin Park,Numb,2004
34,Alicia Keys feat. Tony! Toni! Tone!,Diary,2004
35,Maroon 5,She Will be Loved,2004
36,Dido,White Flag,2004
37,Los Lonely Boys,Heaven,2004
38,No Doubt,It’s My Life,2004
39,Ashlee Simpson,Pieces of Me,2004
40,JoJo,Leave (Get Out),2004
41,Kelis,Milkshake,2004
42,Ludacris,Splash Waterfalls,2004
43,Kanye West,Jesus Walks,2004
44,Akon feat. Styles P.,Locked Up,2004
45,Ludacris feat. Shawnna,Stand Up,2004
46,Baby Bash feat. Frankie J,Suga Suga,2004
47,Kanye West feat. Syleena Johnson,All Falls Down,2004
48,Britney Spears,Toxic,2004
49,Ying Yang Twins feat. Lil Jon and The East Side Boyz,Salt Shaker,2004
50,Jessica Simpson,With You,2004
51,Switchfoot,Meant to Live,2004
52,"Houston feat. Chingy, Nate Dogg and I-20",I Like That,2004
53,Ruben Studdard,Sorry 2004,2004
54,Avril Lavigne,My Happy Ending,2004
55,Lloyd Banks,On Fire,2004
56,OutKast,Roses,2004
57,Jagged Edge,Walker outta Heaven,2004
58,Destiny’s Child,Lose My Breath,2004
59,D12,My Band,2004
60,Sean Paul feat. Sasha,I’m Still in Love with You,2004
61,Kanye West,Through the Wire,2004
62,Jadakiss feat. Anthony Hamilton,Why?,2004
63,Eamon,F**k It (I Don’t Want you Back),2004
64,Avant,Read your Mind,2004
65,Lil’ Flip,Game Over (Flip),2004
66,Finger Eleven,One Thing,2004
67,LL Cool J,Headsprung,2004
68,YoungBloodZ feat. Lil Jon,Damn!,2004
69,Beyonce feat. Sean Paul,Baby Boy,2004
70,Lil Jon and The East Side Boyz feat. Ying Yang Twins,Get Low,2004
71,Snoop Dogg feat. Pharrell,Drop it Like it’s Hot,2004
72,Monica,U Should’ve Known Better,2004
73,Ryan Cabrera,On the Way Down,2004
74,Kelly Clarkson,Breakaway,2004
75,Santana feat. Alex Band Or Chad Kroeger,Why Don’t you & I,2004
76,Jet,Are You Gonna Be My Girl,2004
77,Five For Fighting,100 Years,2004
78,R. Kelly,Step In The Name Of Love,2004
79,Linkin Park,Breaking the Habit,2004
80,Nick Cannon feat. R. Kelly,Gigolo,2004
81,Tim McGraw,Live Like You Were Dying,2004
82,Alan Jackson,Remember When,2004
83,Britney Spears,Everytime,2004
84,Lloyd feat. Ashanti,Southside,2004
85,Beenie Man feat. Ms. Thing,Dude,2004
86,G-Unit feat. Joe,Wanna Get To Know You,2004
87,Chingy feat. Ludacris and Snoop Dogg,Holidae In,2004
88,Black Eyed Peas,Let’s Get It Started,2004
